name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AH3),False,0.016404197,0.0366808996,1.088049220836492,.190623609714528,.8810437823205205,414.5445790503741,APO,27523497.902540334,13244.5483217936
(2026 AJ3),False,0.0179702855,0.0401827799,1.287846187680077,.3546567491344251,4.968158925901515,533.8194849335808,APO,4764939.265261666,22671.3942599162
(2026 AS3),False,0.0320003683,0.0715549988,1.943096710991683,.6895644829161522,9.851173046132384,989.3274332078804,APO,5136174.846906108,72596.0697050509
(2026 AT3),False,0.0392062204,0.0876677739,1.396365168727363,.5969102930149451,9.328567735886837,602.694096599765,APO,25761079.48695447,85220.7604742257
(2026 AU3),False,0.0084831076,0.0189688053,1.669353398915864,.3901787962971671,.379539410392955,787.8088504064178,AMO,5261948.986832442,16348.5767997831
(2026 AV3),False,0.0287842539,0.0643635484,1.089820307243165,.1450924613591655,6.950297809025545,415.5571614052463,APO,10146459.346260466,14690.0289434806
(2026 AW3),False,0.0502521881,0.1123673086,2.342252548615186,.5477429275334695,10.21450698383772,1309.329663497137,AMO,20849818.53008602,29114.9722432236
(2026 AX3),False,0.0083206064,0.0186054414,1.325075381451811,.2418297271361596,10.13293325890998,557.1335407910934,APO,5344293.159682058,23484.870868864
(2026 AY3),False,0.0427912503,0.0956841446,2.003651117527288,.5232460325709853,2.928540521254167,1035.932793491213,APO,7490006.959282841,29491.378795878
(2026 AZ3),False,0.1040291324,0.2326162117,1.400259095308048,.6624026213208487,26.99288167510982,605.2168771402925,APO,,
(2026 AA4),False,0.0455360103,0.1018216144,2.046026490275226,.393477229578312,9.67610724393615,1068.96947857156,AMO,,
(2026 AB4),False,0.0325053597,0.072684194,1.49756140648737,.3954158766811792,4.529982993102752,669.3840902368705,APO,12043958.01127069,25465.7152901815
(2026 AC4),False,0.0153657929,0.0343589575,1.016660601706769,.03921385534554674,.07726684899798036,374.4229128722373,APO,29599964.807850216,26412.9521251733
(2026 AD4),False,0.0555590712,0.1242338599,2.574725356174539,.556871152317945,6.180191165302356,1509.019291514084,AMO,,
(2026 AF4),True,0.1623136248,0.3629442988,1.474297687616946,.3598270090106392,7.293635031102337,653.8471023437521,APO,22165269.117836084,33534.6559034476
(2026 AE4),False,0.0037013059,0.0082763715,1.6752928074187,.4399345394462584,2.587568916366888,792.0170169575829,APO,1259962.6284371,28017.4481213822
(2026 AG4),False,0.0269373567,0.0602337606,1.338931258759253,.3504233086951716,24.87419092471589,565.8949886176256,APO,21250388.862777267,50852.165308281
(2026 AH4),True,0.2151567505,0.48110512,1.341965766491996,.6728031215923778,31.09932007250962,567.819865602602,APO,11994508.555020485,102915.1797287533
(2026 AJ4),False,0.0438889283,0.0981386272,1.939350665281735,.4827581099369347,11.76103973112662,986.4678645220333,APO,4584916.075742557,32393.8007464699
(2026 AK4),False,0.0409595311,0.0915882959,1.9896174177196,.5158584188183979,9.817059679935809,1025.068264451874,APO,16428937.760460781,46255.7841794575
(2026 AL4),False,0.014553082,0.0325416806,1.35896927334036,.243955122428702,5.693296188458493,578.6459034524316,AMO,10487393.550221095,13623.2683008124
(2026 AM4),False,0.023342909,0.0521963313,1.17809088354484,.1534877933641633,2.749111315719399,467.0534880265756,APO,13642477.135122638,17961.9060888675
(2026 AN4),False,0.0028863898,0.0064541637,1.255320427856621,.2194798432308322,8.460991317392477,513.7245508563099,APO,8837943.741768925,23640.453998374
